,,COUNTRIES, KINSHIP, UMLS
hits@1,TransE_l2,0.8194,0.0842,0.2976
hits@1,DistMult,0.799,0.0846,0.2714
hits@1,ComplEx,0.7432,0.0894,0.2844
hits@1,TransR,0.7954,0.0844,0.2122
hits@3,TransE_l2,0.9958,0.225,0.6562
hits@3,DistMult,0.991,0.2402,0.6044
hits@3,ComplEx,0.981,0.2356,0.646
hits@3,TransR,0.9916,0.2288,0.517
hits@5,TransE_l2,0.9998,0.3478,0.8316
hits@5,DistMult,0.9998,0.3804,0.7872
hits@5,ComplEx,0.9988,0.365,0.8226
hits@5,TransR,0.999,0.3506,0.7108
hits@10,TransE_l2,1.0,0.5816,0.9728
hits@10,DistMult,1.0,0.6082,0.956
hits@10,ComplEx,1.0,0.5916,0.9686
hits@10,TransR,1.0,0.5698,0.916
MRR,TransE_l2,0.9044616666666677,0.20175603174603202,0.5119929365079365
MRR,DistMult,0.8914200000000012,0.21102738095238163,0.4797298412698416
MRR,ComplEx,0.8588385714285732,0.210228174603175,0.5021858730158736
MRR,TransR,0.8894902380952387,0.20143888888888992,0.4145862698412677